Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity,stage
3291,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1564312029,180,704.9597778,140.06644440000002,651,143,59,16,public,6,class->specifier,90,1,1,B,stage1
3292,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1564424041,64,784.67,139.264375,776,143,68,16,Vehicle,7,class->name,90,1,3,B,stage1
3293,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1564967985,156,770.1182051,131.8461538,776,143,68,16,Vehicle,7,class->name,90,1,3,B,stage1
3294,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1565419984,108,720.3107407000001,168.5751852,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,90,2,1,B,stage1
3295,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1565659943,108,725.4825926,171.7422222,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,90,2,1,B,stage1
3296,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1565847857,68,709.3258824,170.38529409999998,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,90,2,1,B,stage1
3297,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1565979882,84,701.73,146.6233333,651,143,59,16,public,6,class->specifier,90,1,1,B,stage1
3298,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1566383814,104,791.2211538,173.65076919999998,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,90,2,2,B,stage1
3299,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1566443820,56,785.78,158.5178571,776,143,68,16,Vehicle,7,class->name,90,1,3,B,stage1
3300,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1566572036,124,786.8945161,177.57516130000002,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,90,2,2,B,stage1
3301,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1566652160,76,781.1,168.8105263,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,90,2,2,B,stage1
3302,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1566736023,80,793.7145,180.2655,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,90,2,2,B,stage1
3303,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1566851847,64,908.6875,181.42625,885,180,38,16,type,4,class->block->decl_stmt->decl->name,90,2,4,B,stage1
3304,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1566911847,56,907.4921429,176.53357140000003,885,180,38,16,type,4,class->block->decl_stmt->decl->name,90,2,4,B,stage1
3305,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1567091809,96,902.855,177.7170833,885,180,38,16,type,4,class->block->decl_stmt->decl->name,90,2,4,B,stage1
3306,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1567199793,104,904.9423077,191.1780769,885,180,38,16,type,4,class->block->decl_stmt->decl->name,90,2,4,B,stage1
3307,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1567411673,60,825.6206667,186.088,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,90,2,2,B,stage1
3308,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1567659455,140,785.9294286,184.7608571,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,90,2,2,B,stage1
3309,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1567799506,80,735.921,208.873,712,216,29,16,int,3,class->block->decl_stmt->decl->type->name,90,3,1,B,stage1
3310,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1567903604,64,721.24625,184.05375,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,90,2,1,B,stage1
3311,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1568167683,112,794.38,181.5507143,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,90,2,2,B,stage1
3312,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1568407729,96,732.7791667,220.16875,712,216,29,16,int,3,class->block->decl_stmt->decl->type->name,90,3,1,B,stage1
3313,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1568911689,80,756.085,221.8525,750,216,78,16,topSpeed,8,class->block->decl_stmt->decl->name,90,3,2,B,stage1
3314,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1569299561,172,897.3444186,216.0986047,856,216,116,16,currentSpeed,12,class->block->decl_stmt->decl->name,90,3,4,B,stage1
3315,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1569703549,68,710.6747058999999,255.9811765,711,268,59,20,public,6,class->block->constructor->specifier,90,4,1,B,stage1
3316,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1570459906,60,811.7133332999999,295.742,772,306,125,16,this.producer,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,90,5,1,B,stage1
3317,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1570535601,72,814.8366667,308.61555560000005,772,306,125,16,this.producer,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,90,5,1,B,stage1
3318,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1570671227,96,919.97125,303.9033333,925,306,11,16,p,1,class->block->constructor->block->block_content->expr_stmt->expr->name->name,90,5,3,B,stage1
3319,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1570943401,84,869.84,371.0452381,772,379,126,16,this.topSpeed,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,90,7,1,B,stage1
3320,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1571067402,80,863.6845,344.806,867,343,11,16,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,90,6,2,B,stage1
3321,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1571219376,128,811.0378125,366.8803125,772,379,126,16,this.topSpeed,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,90,7,1,B,stage1
3322,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1571659457,84,867.43,406.10904760000005,772,415,164,16,this.currentSpeed,17,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,90,8,1,B,stage1
3323,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1571799423,136,856.8047059,393.1461765,772,379,126,16,this.topSpeed,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,90,7,1,B,stage1
3324,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1571915461,64,973.01625,259.510625,981,268,58,20,String,6,class->block->constructor->parameter_list->parameter->decl->type->name,90,4,7,B,stage1
3325,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1572819295,112,1024.753929,270.15214289999994,981,268,58,20,String,6,class->block->constructor->parameter_list->parameter->decl->type->name,90,4,7,B,stage1
3326,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1573591285,84,797.5919048,518.9428571000001,779,506,29,16,int,3,class->block->function->type->name,90,10,2,B,stage1
3327,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1573823288,128,839.100625,537.4334375,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,90,11,4,B,stage1
3328,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1573939231,112,837.0189286,512.2528571,817,506,97,16,accelerate,10,class->block->function->name,90,10,3,B,stage1
3329,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1574007184,64,844.0225,528.718125,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,90,11,4,B,stage1
3330,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1574203133,96,933.4825,527.72875,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,90,11,4,B,stage1
3331,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1574459116,64,947.044375,517.209375,942,506,29,16,int,3,class->block->function->parameter_list->parameter->decl->type->name,90,10,5,B,stage1
3332,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1574543115,80,974.121,518.214,981,506,29,16,kmh,3,class->block->function->parameter_list->parameter->decl->name,90,10,6,B,stage1
3333,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1574887144,168,843.9904762,567.072619,832,577,164,17,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->block->block_content->expr_stmt->expr->name->name->operator->name,90,12,1,B,stage1
3334,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1575031183,140,844.8162857000001,553.7671429,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,90,11,4,B,stage1
3335,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1575135188,60,933.072,540.4266667,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,90,11,4,B,stage1
3336,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1575319163,84,928.3066667000002,549.8985713999999,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,90,11,4,B,stage1
3337,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1575582978,220,1030.694,549.6543636,1031,540,30,20,kmh,3,class->block->function->block->block_content->if_stmt->if->condition->expr->name,90,11,6,B,stage1
3338,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1575894998,56,1037.222857,568.175,1024,577,126,17,this.topSpeed,13,class->block->function->block->block_content->if_stmt->if->block->block_content->expr_stmt->expr->name->name->operator->name,90,12,3,B,stage1
3339,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1575974984,76,1038.818947,556.0947368,1031,540,30,20,kmh,3,class->block->function->block->block_content->if_stmt->if->condition->expr->name,90,11,6,B,stage1
3340,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1576086970,108,1032.506296,568.1414815,1024,577,126,17,this.topSpeed,13,class->block->function->block->block_content->if_stmt->if->block->block_content->expr_stmt->expr->name->name->operator->name,90,12,3,B,stage1
3341,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1576251002,160,1033.335,555.58275,1031,540,30,20,kmh,3,class->block->function->block->block_content->if_stmt->if->condition->expr->name,90,11,6,B,stage1
3342,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1576375022,100,1095.9756,544.432,1089,540,10,20,>,1,class->block->function->block->block_content->if_stmt->if->condition->expr->operator,90,11,8,B,stage1
3343,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1576375022,100,1095.9756,544.432,1108,540,126,20,this.topSpeed,13,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,90,11,9,B,stage1
3344,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1576535021,156,1088.954359,533.0523076999999,1089,540,10,20,>,1,class->block->function->block->block_content->if_stmt->if->condition->expr->operator,90,11,8,B,stage1
3345,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1576614835,76,1086.215789,544.06,1089,540,10,20,>,1,class->block->function->block->block_content->if_stmt->if->condition->expr->operator,90,11,8,B,stage1
3346,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1576786749,120,817.727,542.736,823,540,6,20,(,1,class->block->function->block->block_content->if_stmt->if->condition->expr->operator,90,11,3,B,stage1
3347,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1576910919,120,832.4906667,544.498,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,90,11,4,B,stage1
3348,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1577042959,128,824.47,538.319375,823,540,6,20,(,1,class->block->function->block->block_content->if_stmt->if->condition->expr->operator,90,11,3,B,stage1
3349,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1577142845,96,831.365,556.7933333,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,90,11,4,B,stage1
3350,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1577298822,128,775.7065625,547.9959375,772,540,20,20,if,2,class->block->function->block->block_content->if_stmt->if,90,11,1,B,stage1
3351,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1577390856,88,782.2713636,555.5431818,772,540,20,20,if,2,class->block->function->block->block_content->if_stmt->if,90,11,1,B,stage1
3352,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1577698881,116,884.262069,576.3913792999999,832,577,164,17,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->block->block_content->expr_stmt->expr->name->name->operator->name,90,12,1,B,stage1
3353,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1577862889,160,890.8265,570.9675,832,577,164,17,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->block->block_content->expr_stmt->expr->name->name->operator->name,90,12,1,B,stage1
3354,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1578466886,140,913.5451429,585.3377142999999,832,577,164,17,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->block->block_content->expr_stmt->expr->name->name->operator->name,90,12,1,B,stage1
3355,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1578554816,84,917.6195238,588.3285714,832,577,164,17,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->block->block_content->expr_stmt->expr->name->name->operator->name,90,12,1,B,stage1
3356,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1578670680,76,976.0731579,556.6552632,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,90,11,4,B,stage1
3357,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1578882677,132,979.9293939,573.4518182,832,577,164,17,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->block->block_content->expr_stmt->expr->name->name->operator->name,90,12,1,B,stage1
3358,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1579454754,60,764.0613333,208.54,750,216,78,16,topSpeed,8,class->block->decl_stmt->decl->name,90,3,2,B,stage1
3359,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1579514756,56,774.1692857,193.2628571,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,90,2,2,B,stage1
3360,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1579758740,132,770.2854545,176.57575759999995,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,90,2,2,B,stage1
3361,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1579854904,92,766.9434783,157.0021739,719,143,48,16,class,5,class,90,1,2,B,stage1
3362,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1579854904,92,766.9434783,157.0021739,776,143,68,16,Vehicle,7,class->name,90,1,3,B,stage1
3363,2,206,vehicle_java2.jpg,vehicle_java2.jpg,1579947128,72,827.5433333,194.6788889,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,90,2,2,B,stage1
